;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ID;Nombre;RUT;Tipo;Tipo Entidad;F. Creacion;Actividades;CÃ³digos;MCC;Industria SII;Categoria Tramo Ventas;Ventas;Empleados;Region;Deuda Directa vigente;Deuda Directa morosa;Deuda Directa vencida;Deuda Directa consumo;Deuda Directa de credito;Deuda Directa de hipoteca;Deuda Directa financiera;Deuda Directa de operacion de pacto;Deuda Directa comercial;Deuda Directa castigada;Deuda Indirecta vigente;Deuda Indirecta vencida;Deuda Indirecta castigada;Deuda Leasing vigente;Deuda Leasing morosa;Deuda Linea credito;Deuda Credito contingente;Monex vigente;Monex vencido;B. concursal;B. concursal monto;B. concursal 12m;B. concursal 12m monto;Tiene B. concursal 12m;Tiene B. concursal;B. laboral;B. laboral monto;B. laboral 12m;B. laboral 12m monto;Tiene B. laboral 12m;Tiene B. laboral;B. comercial;B. comercial monto;B. comercial 12m;B. comercial 12m monto;Tiene B. comercial 12m;Tiene B. comercial;B. INFOCOM;B. INFOCOM monto;B. INFOCOM 12m;B. INFOCOM 12m monto;Tiene B. INFOCOM 12m;Tiene B. INFOCOM;Causas legales;Causas legales en contra;Causas legales a favor;Causas legales no aplicable;Causas legales rol desconocido;Causas legales activas;Causas legales activas en contra;Causas legales activas a favor;Causas legales activas no aplicable;Causas legales activas rol desconocido
;5763680952;Rosales S.L.;77987094;Persona;cl_person;2023-01-30;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO|VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.|VENTA AL POR MENOR DE ARTICULOS DE JOYERIA, BISUTERIA Y RELOJERIA EN C;464100|464909|477394;ARTICULOS NO PERECEDEROS|ARTICULOS NO PERECEDEROS|JOYERIAS Y RELOJERIAS;;Sin InformaciÃ³n;-;;;172000;0;0;172000;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;0;0;0;0;0;0
;1350767764;Sisneros, Ayala y Adorno Asociados;68064543;Empresa;cl_registral;2023-01-31;;;;ACTIVIDADES INMOBILIARIAS;3ro Rango Micro Empresa;600-2400 UF;0;XIII REGION METROPOLITANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;0;0;0;0;0;0
;1018673760;ConcepciÃ³n, Melgar y Sedillo Asociados;26701818;Persona;cl_person;2023-01-31;"SERVICIOS DE ARBITRAJE; SINDICOS DE QUIEBRA Y PERITOS JUDICIALES; OTRA";691009;ABOGADOS;;Sin InformaciÃ³n;-;;;91584000;0;0;10418000;2000;81166000;0;0;0;0;105339000;0;0;0;0;92836000;0;0;0;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;0;0;0;0;0;0
;8754497001;Salcido y Laboy;98432251;Empresa;cl_eud;2023-01-31;OTRAS ACTIVIDADES DE TELECOMUNICACIONES N.C.P.|ACTIVIDADES DE CONSULTORIA DE GESTION|EMPRESAS DE SERVICIOS DE INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTOR;619090|702000|711002;SERVICIOS TELECOMUNICACIONES|CONSULTORAS|OFICINAS DE INGENIERIA;INFORMACION Y COMUNICACIONES;1er Rango PequeÃ±a Empresa;2400-5000 UF;4;XIII REGION METROPOLITANA;0;0;10682000;0;0;0;0;0;10682000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false;false;0;0;0;0;false;false;17;10533874;11;9735125;true;true;0;0;0;0;false;false;0;0;0;0;0;0;0;0;0;0
;8157264848;Saavedra, Salgado y DomÃ­nguez Asociados;46997202;Empresa;cl_eud;2023-02-01;OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCION|TERMINACION Y ACABADO DE EDIFICIOS;432900|433000;CONTRATISTAS (TECHOS Y/O REVESTIMIENTOS)|OTROS CONTRATISTAS GENERALES;CONSTRUCCION;1er Rango PequeÃ±a Empresa;2400-5000 UF;10;XIII REGION METROPOLITANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false;false;12;5884540;12;5884540;true;true;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;0;0;0;0;0;0
;2654180163;Alaniz Corrales S.A.;93083308;Persona;cl_person;2023-02-01;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;960909;OTROS DEL RUBRO ESPECIALIDADES;;Sin InformaciÃ³n;-;;;10566000;0;0;10566000;4000;0;0;0;0;0;0;0;0;0;0;460000;0;0;0;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;0;0;0;0;0;0
;5136382961;Valenzuela, CabÃ¡n y Arce Asociados;29031781;Empresa;cl_registral;2023-02-01;VENTA AL POR MAYOR DE MAQUINARIA METALURGICA, PARA LA MINERIA, EXTRACC|EMPRESAS DE SERVICIOS DE INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTOR|ALQUILER DE MAQUINARIA Y EQUIPO AGROPECUARIO, FORESTAL, DE CONSTRUCCIO;465901|711002|773002;MATERIALES INDUSTRIALES|OFICINAS DE INGENIERIA|ARRIENDO DE CAMIONES;INDUSTRIA MANUFACTURERA;Sin InformaciÃ³n;-;169;I REGION DE TARAPACA;0;0;0;0;0;0;0;0;0;0;7051000;0;0;2094892000;0;0;0;0;0;0;0;0;0;false;false;26;127395967;17;119967519;true;true;0;0;0;0;false;false;0;0;0;0;false;false;296;280;16;0;0;153;151;2;0;0
;6266048525;Carrasco, Ortiz y Quiroz Asociados;30628420;Empresa;cl_registral;2023-02-06;"CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL|CONSTRUCCION DE EDIFICIOS PARA USO NO RESIDENCIAL|CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL|VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUC|EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA; SOCIEDADES|ALQUILER DE BIENES INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS|COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES|ACTIVIDADES DE CONSULTORIA DE GESTION|ALQUILER DE VEHICULOS AUTOMOTORES SIN CHOFER|ALQUILER DE OTROS TIPOS DE MAQUINARIAS Y EQUIPOS SIN OPERARIO N.C.P.";410010|410020|421000|475201|661903|681011|681012|702000|771000|773009;OTROS CONTRATISTAS GENERALES|OTROS CONTRATISTAS GENERALES|CONTRATISTAS DE CONCRETO|OTROS ABASTECIMIENTO DE INSUMO Y MAT. PRIMA|OTROS PROFESIONALES|OTROS PROFESIONALES|OTROS PROFESIONALES|CONSULTORAS|ARRIENDOS DE CASAS RODANTES|ARRIENDO DE EQUIPOS;CONSTRUCCION;4to Rango Gran Empresa;+1000000 UF;1541;XIII REGION METROPOLITANA;13938079000;0;0;0;0;0;0;0;160214000;0;0;0;0;1482913000;0;54128000;13777864000;0;0;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;547;518;26;0;3;44;39;4;0;1
;2165115120;VelÃ¡zquez CasÃ¡rez S.L.;99935403;Empresa;cl_registral;2023-02-06;TRANSPORTE DE CARGA POR CARRETERA;492300;SERVICIOS DE REMOLQUE;;Sin InformaciÃ³n;-;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;0;0;0;0;0;0
;9076503236;Lovato Carmona S.A.;82233084;Empresa;cl_registral;2023-02-07;"OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCION|FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES|EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA; SOCIEDADES|ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR";439000|643000|661903|682000;OTROS CONTRATISTAS|OTROS PROFESIONALES|OTROS PROFESIONALES|INMOBILIARIAS;ACTIVIDADES FINANCIERAS Y DE SEGUROS;1er Rango Gran Empresa;100000-200000 UF;0;XIII REGION METROPOLITANA;0;0;0;0;0;0;0;0;0;0;0;0;0;4053397000;0;0;0;0;0;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;false;false;0;0;0;0;0;0;0;0;0;0
